ins_size	fq
0	27719
1	5
2	3
3	5
4	2
5	2
6	5
7	5
8	0
9	0
10	0
11	1
12	1
13	0
14	0
15	0
16	2
17	0
18	0
19	0
20	1
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	1
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	1
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	4
50	1
51	0
52	8
53	3
54	4
55	7
56	0
57	2
58	2
59	3
60	0
61	1
62	0
