ins_size	fq
0	26443
1	8
2	5
3	1
4	2
5	0
6	1
7	3
8	4
9	1
10	1
11	0
12	2
13	0
14	4
15	2
16	0
17	0
18	0
19	0
20	0
21	0
22	2
23	0
24	1
25	1
26	1
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	1
41	0
42	1
43	0
44	1
45	0
46	0
47	0
48	0
49	0
50	0
51	2
52	3
53	0
54	10
55	4
56	4
57	1
58	3
59	2
60	2
61	1
62	2
63	4
64	20
