ins_size	fq
0	30504
1	11
2	4
3	2
4	2
5	10
6	4
7	2
8	2
9	0
10	2
11	1
12	1
13	1
14	0
15	1
16	0
17	0
18	1
19	0
20	1
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	1
29	0
30	0
31	0
32	1
33	0
34	0
35	0
36	0
37	0
38	1
39	1
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	1
50	1
51	2
52	3
53	3
54	11
55	13
56	7
57	0
58	5
59	4
60	1
61	0
62	3
