ins_size	fq
0	32367
1	12
2	2
3	3
4	5
5	4
6	6
7	2
8	1
9	2
10	2
11	1
12	0
13	0
14	3
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	1
23	0
24	2
25	0
26	0
27	0
28	0
29	0
30	1
31	0
32	0
33	0
34	0
35	1
36	1
37	0
38	0
39	1
40	0
41	0
42	0
43	0
44	0
45	0
46	1
47	0
48	1
49	0
50	3
51	2
52	4
53	6
54	9
55	8
56	3
57	4
58	3
